UserID,RecommendationRank,CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CourseRating,Score
U00001,1,CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,3.93,9.572
U00001,2,CR00031,Network Security,Cybersecurity,Free,Intermediate,1.91,8.764
U00001,3,CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,4.94,6.976
U00001,4,CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,2.38,5.952
U00001,5,CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,4.73,5.892
U00002,1,CR00003,C++ for Beginners,Programming,Free,Beginner,3.85,9.54
U00002,2,CR00001,Python Basics,Programming,Paid,Beginner,4.74,8.896
U00002,3,CR00005,Full Stack Development,Programming,Free,Beginner,1.28,8.512
U00002,4,CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,4.94,5.976
U00002,5,CR00002,Java Programming,Programming,Free,Intermediate,2.43,5.972
U00003,1,CR00020,Email Marketing,Marketing,Free,Intermediate,4.11,6.644
U00003,2,CR00010,3D Modeling,Design,Free,Advanced,4.45,5.78
U00003,3,CR00014,Sales Mastery,Business,Free,Advanced,3.15,5.26
U00003,4,CR00053,React for Beginners,Web Development,Free,Advanced,2.67,5.068
U00003,5,CR00007,UI/UX Design,Design,Free,Advanced,2.61,5.0440000000000005
U00004,1,CR00059,Affiliate Marketing,Digital Marketing,Free,Intermediate,4.66,9.864
U00004,2,CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,4.73,5.892
U00004,3,CR00020,Email Marketing,Marketing,Free,Intermediate,4.11,5.644
U00004,4,CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,3.93,5.572
U00004,5,CR00057,SEO for E-commerce,Digital Marketing,Paid,Advanced,3.89,5.556
U00005,1,CR00003,C++ for Beginners,Programming,Free,Beginner,3.85,6.54
U00005,2,CR00002,Java Programming,Programming,Free,Intermediate,2.43,5.972
U00005,3,CR00017,SEO Mastery,Marketing,Free,Advanced,4.79,5.916
U00005,4,CR00001,Python Basics,Programming,Paid,Beginner,4.74,5.896
U00005,5,CR00010,3D Modeling,Design,Free,Advanced,4.45,5.78
U00006,1,CR00027,Neural Networks,Machine Learning,Free,Advanced,1.81,8.724
U00006,2,CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,4.73,6.892
U00006,3,CR00017,SEO Mastery,Marketing,Free,Advanced,4.79,5.916
U00006,4,CR00010,3D Modeling,Design,Free,Advanced,4.45,5.78
U00006,5,CR00030,Reinforcement Learning,Machine Learning,Free,Intermediate,1.73,5.692
U00007,1,CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,3.93,9.572
U00007,2,CR00034,Data Encryption,Cybersecurity,Paid,Intermediate,1.35,7.54
U00007,3,CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,4.94,6.976
U00007,4,CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,2.38,5.952
U00007,5,CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,4.73,5.892
U00008,1,CR00044,Personal Finance,Finance,Paid,Intermediate,2.75,8.1
U00008,2,CR00043,Corporate Finance,Finance,Free,Beginner,4.14,6.656
U00008,3,CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,4.73,5.892
U00008,4,CR00016,Digital Marketing,Marketing,Free,Intermediate,4.72,5.888
