SegmentName,Learners,AvgCourses,AvgEnrollmentFrequency,AvgSpending,AvgCourseRating,AvgCategoryDiversity,AvgLearningDepth,TotalSpending
AI Beginner Learners,475,1.6042105263157895,1.0308771929824563,208.37950175438598,3.200282456140351,1.5578947368421052,1.6428070175438598,140660.93
Advanced Machine Learning Learners,184,1.608695652173913,1.0349184782608696,9.718110785953177,2.8825450111482724,1.4456521739130435,2.256814381270903,5724.599999999999
Advanced Marketing Learners,152,1.6578947368421053,1.0405388471177945,8.335558662828399,3.5968362448954556,1.4276315789473684,2.5014398978214767,6386.35
Advanced Web Development Learners,151,1.576158940397351,1.025110375275938,23.909650927439007,2.8763812534044324,1.3245033112582782,2.2734325277371634,8745.01
Business Advanced Learners,297,1.835016835016835,1.0548607770829992,163.38918911335577,2.852362258953168,1.7777777777777777,2.3185134169982655,75177.08
Cybersecurity Beginners,616,1.5681818181818181,1.0454545454545454,43.281276851305265,3.036372983077529,1.4967532467532467,1.7821354781582053,47449.11
Data Science Beginners,258,1.7325581395348837,1.0619176258711143,85.11441020671833,3.2800694195984894,1.6046511627906976,1.8311617968594713,34580.51
Deep Design Learners,242,1.6570247933884297,1.0458644890463074,48.92703469533222,3.1795270954940373,1.5702479338842976,2.5013648885549715,20629.01
Digital Marketing Learners,193,1.5544041450777202,1.0322970639032814,61.63784727362447,3.5755748828028624,1.455958549222798,1.9062422896619788,18095.8
Highly Engaged AI Explorers,432,13.409722222222221,1.6753627545294212,96.07745149401138,3.1145656492427327,8.75925925925926,1.975304537283704,553875.07
