UserID,Age,Gender,TotalCoursesEnrolled,EnrollmentFrequency,AverageSpending,PreferredCategory,PreferredLevel,AverageCourseRating,CategoryDiversity,LearningDepthIndex,TotalSpending,Cluster,SegmentName
U00001,15,Male,1,1.0,394.26,Cybersecurity,Intermediate,1.35,1,2.0,394.26,2,Cybersecurity Beginners
U00002,29,Female,1,1.0,0.0,Programming,Beginner,2.88,1,1.0,0.0,2,Cybersecurity Beginners
U00003,33,Female,11,1.5714285714285714,55.81636363636364,Marketing,Advanced,2.889090909090909,7,2.0,613.98,8,Advanced Marketing Learners
U00004,23,Female,13,1.625,75.54230769230769,Digital Marketing,Intermediate,3.4515384615384614,8,1.9230769230769231,982.05,4,Highly Engaged AI Explorers
U00005,21,Male,2,1.0,173.355,Programming,Advanced,2.0549999999999997,2,2.0,346.71,2,Cybersecurity Beginners
U00006,21,Male,1,1.0,0.78,Machine Learning,Advanced,3.89,1,3.0,0.78,6,Advanced Machine Learning Learners
U00007,24,Male,1,1.0,0.0,Cybersecurity,Intermediate,1.91,1,2.0,0.0,2,Cybersecurity Beginners
U00008,33,Female,1,1.0,0.0,Finance,Intermediate,4.1,1,2.0,0.0,2,Cybersecurity Beginners
U00009,20,Female,1,1.0,276.37,Design,Advanced,2.72,1,3.0,276.37,7,Deep Design Learners
U00010,34,Female,2,1.0,163.01,Artificial Intelligence,Beginner,3.165,2,1.5,326.02,0,AI Beginner Learners
U00011,15,Female,2,1.0,149.785,Data Science,Advanced,3.205,2,2.0,299.57,3,Data Science Beginners
U00012,15,Female,2,2.0,163.995,Design,Advanced,1.5150000000000001,2,2.0,327.99,7,Deep Design Learners
U00013,33,Female,14,1.5555555555555556,102.3092857142857,Machine Learning,Advanced,2.869285714285714,8,2.0,1432.33,4,Highly Engaged AI Explorers
U00014,30,Male,1,1.0,0.0,Machine Learning,Advanced,1.81,1,3.0,0.0,6,Advanced Machine Learning Learners
U00015,27,Female,14,2.0,145.36142857142858,Artificial Intelligence,Beginner,2.7607142857142857,10,1.7142857142857142,2035.06,4,Highly Engaged AI Explorers
U00016,32,Male,1,1.0,0.0,Marketing,Advanced,4.79,1,3.0,0.0,8,Advanced Marketing Learners
U00017,24,Male,3,1.0,321.06,Artificial Intelligence,Beginner,4.6499999999999995,3,1.3333333333333333,963.18,0,AI Beginner Learners
U00018,24,Female,16,1.4545454545454546,91.751875,Artificial Intelligence,Beginner,3.1081250000000002,9,1.8125,1468.03,4,Highly Engaged AI Explorers
U00019,24,Female,1,1.0,0.0,Design,Beginner,4.51,1,1.0,0.0,7,Deep Design Learners
U00020,27,Female,1,1.0,0.0,Programming,Beginner,2.88,1,1.0,0.0,2,Cybersecurity Beginners
U00021,15,Male,2,1.0,88.67,Cybersecurity,Advanced,3.135,2,3.0,177.34,2,Cybersecurity Beginners
U00022,31,Male,1,1.0,0.0,Project Management,Beginner,4.68,1,1.0,0.0,0,AI Beginner Learners
U00023,32,Male,1,1.0,0.0,Design,Beginner,4.51,1,1.0,0.0,7,Deep Design Learners
U00024,18,Female,1,1.0,0.0,Cybersecurity,Intermediate,3.93,1,2.0,0.0,2,Cybersecurity Beginners
U00025,34,Male,4,1.0,29.76,Finance,Advanced,2.605,4,2.25,119.04,2,Cybersecurity Beginners
U00026,19,Male,1,1.0,327.99,Project Management,Beginner,1.51,1,1.0,327.99,0,AI Beginner Learners
U00027,31,Male,2,1.0,0.0,Cybersecurity,Advanced,2.915,2,2.5,0.0,2,Cybersecurity Beginners
U00028,30,Female,12,1.7142857142857142,84.38833333333334,Finance,Beginner,3.015,9,1.9166666666666667,1012.66,4,Highly Engaged AI Explorers
U00029,30,Male,1,1.0,326.02,Business,Intermediate,2.69,1,2.0,326.02,1,Business Advanced Learners
U00030,34,Male,1,1.0,0.0,Project Management,Intermediate,3.45,1,2.0,0.0,0,AI Beginner Learners
U00031,30,Male,1,1.0,0.0,Web Development,Beginner,2.2,1,1.0,0.0,9,Advanced Web Development Learners
U00032,18,Male,1,1.0,285.05,Business,Beginner,1.96,1,1.0,285.05,1,Business Advanced Learners
U00033,25,Male,1,1.0,276.37,Design,Advanced,2.72,1,3.0,276.37,7,Deep Design Learners
U00034,32,Female,2,1.0,124.05,Artificial Intelligence,Beginner,2.67,2,1.0,248.1,0,AI Beginner Learners
U00035,32,Male,1,1.0,0.78,Machine Learning,Advanced,3.89,1,3.0,0.78,6,Advanced Machine Learning Learners
U00036,24,Female,1,1.0,0.0,Programming,Beginner,3.85,1,1.0,0.0,2,Cybersecurity Beginners
U00037,31,Female,2,1.0,0.0,Cybersecurity,Advanced,1.9849999999999999,2,3.0,0.0,2,Cybersecurity Beginners
U00038,35,Male,1,1.0,0.0,Cybersecurity,Intermediate,3.93,1,2.0,0.0,2,Cybersecurity Beginners
U00039,16,Female,1,1.0,346.71,Project Management,Advanced,1.23,1,3.0,346.71,0,AI Beginner Learners
U00040,15,Male,1,1.0,0.0,Programming,Beginner,3.85,1,1.0,0.0,2,Cybersecurity Beginners
U00041,19,Female,2,1.0,163.01,Business,Beginner,3.5650000000000004,2,1.5,326.02,1,Business Advanced Learners
U00042,32,Male,1,1.0,89.59,Artificial Intelligence,Intermediate,2.68,1,2.0,89.59,0,AI Beginner Learners
U00043,31,Male,1,1.0,327.99,Project Management,Beginner,1.51,1,1.0,327.99,0,AI Beginner Learners
U00044,19,Male,1,1.0,299.57,Data Science,Beginner,3.74,1,1.0,299.57,3,Data Science Beginners
U00045,23,Female,14,2.0,86.41357142857143,Project Management,Beginner,3.375,9,1.7857142857142858,1209.79,4,Highly Engaged AI Explorers
U00046,29,Female,2,1.0,0.0,Design,Advanced,1.325,2,2.0,0.0,7,Deep Design Learners
U00047,34,Male,1,1.0,0.0,Data Science,Intermediate,3.6,1,2.0,0.0,3,Data Science Beginners
U00048,19,Male,13,1.625,27.45307692307692,Design,Beginner,3.329230769230769,9,1.8461538461538463,356.89,4,Highly Engaged AI Explorers
U00049,32,Male,1,1.0,0.0,Project Management,Intermediate,3.45,1,2.0,0.0,0,AI Beginner Learners
U00050,33,Male,1,1.0,0.0,Design,Advanced,2.61,1,3.0,0.0,7,Deep Design Learners
U00051,32,Female,1,1.0,0.0,Design,Beginner,4.51,1,1.0,0.0,7,Deep Design Learners
U00052,25,Female,1,1.0,0.78,Machine Learning,Advanced,3.89,1,3.0,0.78,6,Advanced Machine Learning Learners
U00053,34,Female,1,1.0,53.86,Finance,Beginner,2.47,1,1.0,53.86,2,Cybersecurity Beginners
U00054,22,Female,1,1.0,490.9,Artificial Intelligence,Beginner,4.55,1,1.0,490.9,0,AI Beginner Learners
U00055,31,Female,16,1.6,90.515625,Design,Advanced,3.055625,9,2.375,1448.25,4,Highly Engaged AI Explorers
U00056,22,Female,2,1.0,0.0,Design,Advanced,2.745,2,2.0,0.0,7,Deep Design Learners
U00057,18,Male,1,1.0,487.92,Business,Advanced,3.64,1,3.0,487.92,1,Business Advanced Learners
U00058,30,Female,1,1.0,117.68,Data Science,Advanced,2.57,1,3.0,117.68,3,Data Science Beginners
U00059,32,Male,1,1.0,0.0,Design,Beginner,4.51,1,1.0,0.0,7,Deep Design Learners
U00060,26,Male,4,1.3333333333333333,13.465,Finance,Beginner,3.515,3,1.25,53.86,2,Cybersecurity Beginners
U00061,32,Female,1,1.0,0.0,Cybersecurity,Intermediate,1.91,1,2.0,0.0,2,Cybersecurity Beginners
U00062,28,Female,1,1.0,0.0,Programming,Beginner,3.85,1,1.0,0.0,2,Cybersecurity Beginners
U00063,34,Female,2,1.0,149.785,Data Science,Beginner,3.31,2,1.0,299.57,3,Data Science Beginners
U00064,33,Female,1,1.0,276.37,Design,Advanced,2.72,1,3.0,276.37,7,Deep Design Learners
U00065,29,Male,1,1.0,0.0,Web Development,Advanced,2.67,1,3.0,0.0,9,Advanced Web Development Learners
U00066,26,Female,1,1.0,327.99,Project Management,Beginner,1.51,1,1.0,327.99,0,AI Beginner Learners
U00067,28,Female,1,1.0,119.04,Finance,Intermediate,2.75,1,2.0,119.04,2,Cybersecurity Beginners
U00068,32,Male,1,1.0,0.0,Project Management,Intermediate,3.45,1,2.0,0.0,0,AI Beginner Learners
U00069,27,Female,2,1.0,0.0,Design,Advanced,3.67,2,2.5,0.0,7,Deep Design Learners
U00070,25,Female,2,1.0,0.0,Digital Marketing,Intermediate,4.6899999999999995,2,2.0,0.0,5,Digital Marketing Learners
U00071,30,Female,14,1.75,45.85285714285715,Programming,Beginner,2.777857142857143,8,1.7857142857142858,641.94,4,Highly Engaged AI Explorers
U00072,17,Female,1,1.0,326.02,Business,Intermediate,2.69,1,2.0,326.02,1,Business Advanced Learners
U00073,16,Male,1,1.0,0.78,Machine Learning,Advanced,3.89,1,3.0,0.78,6,Advanced Machine Learning Learners
U00074,19,Male,3,1.5,321.06,Programming,Beginner,3.5233333333333334,2,1.0,963.18,0,AI Beginner Learners
U00075,22,Male,1,1.0,0.0,Design,Advanced,4.45,1,3.0,0.0,7,Deep Design Learners
U00076,34,Male,4,1.3333333333333333,118.07,Business,Beginner,3.0949999999999998,4,1.5,472.28,1,Business Advanced Learners
U00077,20,Male,1,1.0,0.0,Marketing,Intermediate,4.11,1,2.0,0.0,8,Advanced Marketing Learners
U00078,32,Female,1,1.0,0.0,Marketing,Intermediate,4.11,1,2.0,0.0,8,Advanced Marketing Learners
U00079,28,Male,1,1.0,0.0,Cybersecurity,Beginner,4.94,1,1.0,0.0,2,Cybersecurity Beginners
U00080,35,Female,1,1.0,0.0,Programming,Beginner,2.88,1,1.0,0.0,2,Cybersecurity Beginners
U00081,18,Female,1,1.0,0.0,Design,Advanced,1.52,1,3.0,0.0,7,Deep Design Learners
U00082,31,Male,1,1.0,0.0,Project Management,Beginner,4.68,1,1.0,0.0,0,AI Beginner Learners
U00083,16,Male,15,1.875,110.75333333333333,Artificial Intelligence,Intermediate,2.9953333333333334,9,2.0,1661.3,4,Highly Engaged AI Explorers
U00084,20,Male,1,1.0,327.99,Project Management,Beginner,1.51,1,1.0,327.99,0,AI Beginner Learners
U00085,22,Female,13,1.625,88.39384615384614,Cybersecurity,Beginner,2.9084615384615384,7,1.6923076923076923,1149.12,4,Highly Engaged AI Explorers
U00086,27,Female,4,1.0,13.465,Business,Advanced,2.47,4,2.25,53.86,1,Business Advanced Learners
U00087,19,Female,3,1.0,0.0,Machine Learning,Intermediate,4.506666666666667,3,1.6666666666666667,0.0,6,Advanced Machine Learning Learners
U00088,23,Male,1,1.0,0.0,Artificial Intelligence,Beginner,3.64,1,1.0,0.0,0,AI Beginner Learners
U00089,30,Male,1,1.0,0.0,Machine Learning,Intermediate,4.73,1,2.0,0.0,6,Advanced Machine Learning Learners
U00090,34,Male,1,1.0,0.0,Project Management,Intermediate,3.45,1,2.0,0.0,0,AI Beginner Learners
U00091,35,Male,1,1.0,0.0,Finance,Beginner,4.14,1,1.0,0.0,2,Cybersecurity Beginners
U00092,31,Male,4,2.0,148.7025,Artificial Intelligence,Advanced,2.7175000000000002,4,2.0,594.81,4,Highly Engaged AI Explorers
U00093,16,Male,1,1.0,285.05,Business,Beginner,1.96,1,1.0,285.05,1,Business Advanced Learners
